Player Name,Mat,Inn,NO,Runs,HS,Ave,Balls,SR,100,50,0,4s,6s
Thisara Perera,12,10,1,155,43,17.22,21.1,122.05,0,0,0,13,7
Evin Lewis,7,6,1,145,101,29,20.1,119.83,1,0,0,13,7
Marlon Samuels,4,4,3,142,69,142,20.3,115.45,0,1,0,17,2
Anamul Haque,10,9,1,142,39,17.75,22.0,107.58,0,0,1,13,3
Chris Gayle,4,4,1,139,92,46.33,14.1,163.53,0,1,0,11,12
Shakib Al Hasan,11,11,3,136,33,17,21.5,103.82,0,0,1,12,2
Ravi Bopara,9,8,0,132,55,16.5,18.3,118.92,0,2,0,10,5
Rony Talukdar,13,12,0,132,38,11,23.2,94.29,0,0,1,13,2
Mithun Ali,12,9,1,130,55,16.25,21.1,102.36,0,1,1,11,4
Mehdi Hasan,10,9,1,126,37,15.75,25.2,82.89,0,0,1,9,6
Litton Das,9,9,0,123,42,13.67,22.0,93.18,0,0,1,12,1
Mosaddek Hossain,7,7,2,116,30,23.2,20.3,94.31,0,0,0,9,2
Nurul Hasan,10,9,3,115,35,19.17,16.2,117.35,0,0,1,9,3
Yasir Ali,7,5,0,112,63,22.4,16.3,113.13,0,1,0,6,6
Misbah-ul-Haq,5,4,0,108,61,27,17.3,102.86,0,1,0,7,4
Seekkuge Prasanna,10,9,2,106,36,15.14,11.3,153.62,0,0,2,4,9
Junaid Siddique,5,5,1,105,51,26.25,18.3,94.59,0,1,0,9,3
Shahriar Nafees,5,5,1,104,44,26,15.5,109.47,0,0,0,10,3
Darren Sammy,10,8,0,104,24,13,13.1,131.65,0,0,0,12,3
Mashrafe Mortaza,12,7,2,102,56,20.4,13.1,129.11,0,1,1,5,6
Ryan ten Doeschate,6,6,2,100,45,25,17.4,94.34,0,0,0,2,4
Alok Kapali,10,6,3,95,39,31.67,13.2,118.75,0,0,0,8,2
Shuvagata Hom,12,9,1,94,30,11.75,11.0,142.42,0,0,1,10,4
Malcolm Waller,8,7,3,91,19,22.75,9.2,162.5,0,0,0,11,4
Umar Akmal,5,4,1,89,49,29.67,15.4,94.68,0,0,0,5,3
Shahid Afridi,5,4,1,87,62,29,9.3,152.63,0,1,0,7,6
Naeem Islam,4,4,2,87,38,43.5,17.1,84.47,0,0,0,6,1
Shadman Islam,4,4,0,86,45,21.5,15.3,92.47,0,0,0,12,0
Nadif Chowdhury,8,5,0,84,30,16.8,16.4,84,0,0,0,4,3
Ziaur Rahman,9,7,2,83,39,16.6,10.2,133.87,0,0,0,4,6
Kevon Cooper,9,7,4,83,22,27.67,9.0,153.7,0,0,0,6,4
Saikat Ali,7,7,0,80,23,11.43,13.1,101.27,0,0,1,8,2
Mominul Haque,8,7,1,78,29,13,15.2,84.78,0,0,0,12,0
Farhad Reza,9,5,1,76,31,19,10.4,118.75,0,0,0,7,2
Rayad Emrit,6,4,4,72,54,0,7.2,163.64,0,1,0,6,3
Mahmudul Hasan,6,4,0,72,31,18,16.5,71.29,0,0,0,9,0
Nasir Jamshed,3,3,0,67,44,22.33,12.3,89.33,0,0,0,9,1
Al-Amin,6,6,0,65,38,10.83,9.3,114.04,0,0,1,6,2
Shoaib Malik,4,4,1,65,34,21.67,12.3,86.67,0,0,0,4,1
Jeevan Mendis,4,4,0,63,39,15.75,6.5,153.66,0,0,0,3,5
Abul Hasan,10,8,3,59,12,11.8,10.3,93.65,0,0,0,6,2
Sohail Tanvir,5,4,0,57,20,14.25,7.4,123.91,0,0,0,5,2
Nazmul Hossain Milon,8,7,1,55,15,9.17,10.2,88.71,0,0,1,2,2
Joshua Cobb,4,4,0,51,21,12.75,8.3,100,0,0,1,7,1
Mohammad Sami,11,5,1,46,16,11.5,5.3,139.39,0,0,1,3,3
Mohammad Nabi,7,4,0,37,12,9.25,4.5,127.59,0,0,0,3,2
Mohammad Hafeez,4,4,0,35,25,8.75,7.1,81.4,0,0,0,6,0
Asif Ahmed,4,2,1,34,17,34,4.5,117.24,0,0,0,5,0
Mohammad Amir,9,6,0,33,20,5.5,5.3,100,0,0,1,0,2
Yasir Shah,8,4,0,30,12,7.5,6.4,75,0,0,1,4,0
Shamsur Rahman,3,3,0,25,19,8.33,5.1,80.65,0,0,0,3,0
Shafiul Islam,10,5,1,23,12,5.75,3.4,104.55,0,0,1,4,0
Bilawal Bhatti,4,3,2,22,11,22,4.3,81.48,0,0,0,1,0
Taijul Islam,11,4,2,22,10,11,5.4,64.71,0,0,0,1,1
