Player,Mat,Inn,Overs,Mdns,Runs,Wkts,Ave,Econ,4w,5w,SR
Bandaru Ayyappa,5,5,18,0,134,7,19.14,7.44,0,0,15.43
Homendro Kabrambam,6,6,18,0,193,4,48.25,10.72,0,0,27
Krishna Das,6,6,18,0,129,3,43,7.17,0,0,36
Manpreet Gony,5,5,18,1,136,5,27.2,7.56,0,0,21.6
Avesh Khan,5,5,18,0,142,3,47.33,7.89,0,0,36
Arjun Sharma,6,6,18,0,118,4,29.5,6.56,0,0,27
Himanshu Bisht,6,6,18,0,147,3,49,8.17,0,0,36
Aniket Choudhary,5,5,18,1,112,7,16,6.22,0,0,15.43
Irfan Pathan,5,5,18,0,151,4,37.75,8.39,0,0,27
Parandaman Thamaraikannan,7,7,18,0,149,7,21.29,8.28,1,0,15.43
Brainder Sran,5,5,18,0,141,3,47,7.83,0,0,36
Varun Aaron,5,5,18.5,0,143,9,15.89,8.02,0,0,11.89
Chetan Sakariya,5,5,18.4,0,151,10,15.1,8.55,1,0,10.6
Kangabam Singh,6,6,18.4,0,173,4,43.25,9.79,0,0,26.5
Akhilesh Sahani,5,5,17.1,0,161,11,14.64,9.38,1,0,9.36
Anand Singh,10,9,17,0,130,4,32.5,7.65,0,0,25.5
Pankaj Kumar Rao,5,5,17,0,142,7,20.29,8.35,0,0,14.57
Vishal Das,6,5,17,1,124,5,24.8,7.29,0,0,20.4
Rishi Arothe,7,6,17,0,116,6,19.33,6.82,1,0,17
Prerak Mankad,6,6,17,0,115,8,14.38,6.76,0,0,12.75
Rohit Dangwal,5,5,17,0,124,4,31,7.29,0,0,25.5
Tahmeed Rahman,6,6,17.3,0,197,3,65.67,11.94,0,0,33
Prashant Singh,6,6,16.2,1,127,6,21.17,7.78,0,0,16.33
Lukman Meriwala,6,5,16.2,0,109,4,27.25,6.67,0,0,24.5
Ravisrinivasan Sai Kishore,4,4,16,0,95,2,47.5,5.94,0,0,48
Palakodeti Sairam,6,5,16,0,112,3,37.33,7,0,0,32
Utkarsh Singh,6,6,16,0,91,7,13,5.69,0,0,13.71
Siddhesh Lad,8,7,16,0,106,6,17.67,6.63,0,0,16
Sunny Kashyap,5,5,16,0,116,5,23.2,7.25,0,0,19.2
Deepak Chahar,4,4,16,0,108,5,21.6,6.75,0,0,19.2
Vijesh Prabhudessai,5,5,16,0,188,4,47,11.75,0,0,24
Manoj Bhandage,7,7,16,0,144,7,20.57,9,0,0,13.71
Licha Tehi,4,4,16,0,163,1,163,10.19,0,0,96
S Akshay Jain,5,5,16,0,124,3,41.33,7.75,0,0,32
Taruwar Kohli,7,5,16,0,196,4,49,12.25,0,0,24
Raj Biswa,6,4,16,0,109,3,36.33,6.81,0,0,32
Prashant Awasthi,10,7,16,0,107,3,35.67,6.69,0,0,32
Techi Neri,6,6,16,0,126,1,126,7.88,0,0,96
M Mohammed,6,6,16,0,119,6,19.83,7.44,0,0,16
Ayan Bhattacharjee,5,5,15,0,92,3,30.67,6.13,0,0,30
SK Ismail,4,4,15,0,117,4,29.25,7.8,0,0,22.5
Rajjakuddin Ahmed,7,7,15,0,116,4,29,7.73,0,0,22.5
Rahul Tewatia,7,6,15,0,108,4,27,7.2,0,0,22.5
Kshitiz Sharma,7,5,15,0,109,3,36.33,7.27,0,0,30
Khaleel Ahmed,4,4,15.4,0,95,12,7.92,6.48,0,1,7.33
Abhishek Raut,7,6,14.1,0,102,1,102,7.2,0,0,85
Manjeet Singh,4,4,14.1,0,115,5,23,8.12,0,0,17
Swarajeet Das,6,6,14,0,147,0,0,10.5,0,0,0
Biplab Samantray,7,6,14,0,85,6,14.17,6.07,0,0,14
Kuldeep Sen,4,4,14,0,128,1,128,9.14,0,0,84
Venkatesh Iyer,6,6,14,0,128,4,32,9.14,0,0,21
Chirag Jani,5,5,14,0,69,3,23,4.93,0,0,28
Jay Chauhan,4,4,14,0,76,6,12.67,5.43,0,0,14
Lalnunkima Varte,5,5,14,0,110,2,55,7.86,0,0,42
Rana Dutta,5,5,14,0,108,5,21.6,7.71,1,0,16.8
Hardik Patel,4,4,14,0,95,4,23.75,6.79,0,0,21
Rishi Dhawan,6,6,14,0,135,2,67.5,9.64,0,0,42
Prateek Kataria,4,4,14,0,113,2,56.5,8.07,0,0,42
Imliwati Lemtur,6,6,14.5,0,143,1,143,10.34,0,0,83
Jitumoni Kalita,7,6,14.5,0,80,4,20,5.78,0,0,20.75
Debabrata Pradhan,4,4,14.4,0,96,6,16,7.02,0,0,13.67
Pritam Das,4,4,13,0,102,2,51,7.85,0,0,39
Tushar Saha,4,4,13,0,108,5,21.6,8.31,0,0,15.6
Pranshu Vijayran,6,5,13,1,125,1,125,9.62,0,0,78
Ajay Mandal,4,4,13,0,94,4,23.5,7.23,0,0,19.5
Kamal Das,5,5,13,0,84,3,28,6.46,0,0,26
Ravi Bishnoi,4,4,13,0,79,4,19.75,6.08,0,0,19.5
G Lalbiakvela,6,6,13,0,148,1,148,11.38,0,0,78
Yashpal Singh,6,5,13,0,115,4,28.75,8.85,0,0,19.5
Kanwar Abhinay,5,5,13,0,98,5,19.6,7.54,0,0,15.6
Amulaya Pandrekar,4,4,13,0,87,3,29,6.69,0,0,26
Atharva Taide,10,5,13,0,72,5,14.4,5.54,0,0,15.6
Aditya Singhania,5,4,13.5,0,105,3,35,8.18,0,0,25.67
Riyan Parag,7,7,13.4,0,94,3,31.33,7.42,0,0,25.33
Nitish Rana,10,8,13.3,0,76,4,19,6.08,0,0,18.75
Karn Sharma,5,4,12.1,0,114,5,22.8,9.37,0,0,14.6
Bavanaka Sandeep,7,5,12,0,57,0,0,4.75,0,0,0
Akash Deep,3,3,12,0,74,6,12.33,6.17,0,0,12
Akshdeep Nath,10,3,12,0,78,3,26,6.5,0,0,24
Shubham Singh,4,4,12,0,99,2,49.5,8.25,0,0,36
Rajat Paliwal,7,6,12,0,90,3,30,7.5,0,0,24
Girinath Reddy,6,5,12,0,88,6,14.67,7.33,0,0,12
Deepak Hooda,7,4,12,0,77,2,38.5,6.42,0,0,36
Abrar Kazi,4,4,12.5,3,115,0,0,9.72,0,0,0
Umesh Yadav,4,4,11.2,0,90,3,30,7.94,0,0,22.67
Subhash Sharma,3,3,11.1,0,89,2,44.5,7.97,0,0,33.5
Lamabam Singh,4,4,11,0,112,1,112,10.18,0,0,66
Thokchom Singh,4,4,11,0,110,0,0,10,0,0,0
Kanishk Seth,4,4,11,0,93,3,31,8.45,0,0,22
Krishan Alang,3,3,11,0,72,7,10.29,6.55,1,0,9.43
Shoaib Md Khan,3,3,11,0,70,2,35,6.36,0,0,33
Monu Kumar,3,3,10,0,72,4,18,7.2,0,0,15
Darshan Nalkande,3,3,10,0,87,3,29,8.7,0,0,20
Manoj Tiwary,11,5,10,0,88,0,0,8.8,0,0,0
Bobby Zothansanga,3,3,10,0,102,2,51,10.2,0,0,30
Murugan Ashwin,3,3,10,0,77,4,19.25,7.7,0,0,15
Amit Verma,6,4,10,0,100,0,0,10,0,0,0
Ajit Chahal,3,3,10,0,72,3,24,7.2,0,0,20
Pankaj Jaiswal,3,3,10,0,100,2,50,10,0,0,30
Bobby Yadav,3,3,10,0,77,2,38.5,7.7,0,0,30
Nathu Singh,3,3,10,0,41,7,5.86,4.1,0,0,8.57
Domnic Joseph,3,3,10,0,64,5,12.8,6.4,0,0,12
Vivek Singh,11,4,10,0,79,0,0,7.9,0,0,0
Malliksab Sirur,3,3,10.4,0,72,2,36,7.45,0,0,29
Karan Patel,4,3,9,1,56,3,18.67,6.22,0,0,18
Girish Rauturi,7,5,9,0,86,2,43,9.56,0,0,27
Waseem Raza,3,3,9,0,82,2,41,9.11,0,0,27
Damodaren Rohit,7,5,9,0,73,0,0,8.11,0,0,0
Manish Sharma,3,3,9,0,65,3,21.67,7.22,0,0,18
Arup Das,3,3,9,0,72,0,0,8,0,0,0
Pradipta Pramanik,3,3,9,0,59,5,11.8,6.56,0,0,10.8
Prayas Ray Barman,4,4,9,0,64,4,16,7.11,1,0,13.5
Parth Sahani,6,5,9,0,79,1,79,8.78,0,0,54
Sams Alam,3,3,9.4,0,111,1,111,12.81,0,0,52
Lakshay Garg,3,3,8.2,1,46,4,11.5,5.52,0,0,12.5
Shivam Dube,2,2,8,0,59,4,14.75,7.38,0,0,12
Manoj Ingale,3,3,8,1,53,2,26.5,6.63,0,0,24
Sohraab Dhaliwal,6,5,8,0,79,0,0,9.88,0,0,0
Ram Dayal,2,2,8,0,55,3,18.33,6.88,0,0,16
KN Luitel,4,4,8,0,79,1,79,9.88,0,0,48
Roosh Kalaria,2,2,8,0,57,2,28.5,7.13,0,0,24
Pallavkumar Das,7,5,8,0,71,2,35.5,8.88,0,0,24
Sultan Karim,3,3,8,0,77,1,77,9.63,0,0,48
Mahipal Lomror,6,3,8,0,31,0,0,3.88,0,0,0
Writtick Chatterjee,2,2,8,0,25,4,6.25,3.13,0,0,12
Mayank Raghav,6,3,8,0,98,1,98,12.25,0,0,48
Abhijit Chakraborty,3,3,8,0,62,0,0,7.75,0,0,0
Lee Yong Lepcha,6,5,8.3,0,97,0,0,12.93,0,0,0
Nirupam Sen Chowdhary,6,4,8.3,0,53,0,0,7.07,0,0,0
Tanveer Ul-Haq,2,2,7,0,22,5,4.4,3.14,0,0,8.4
Varun Sood,2,2,7,0,55,0,0,7.86,0,0,0
Mandeep Singh,5,3,7,0,37,1,37,5.29,0,0,42
Saurabh Das,4,3,7,0,44,0,0,6.29,0,0,0
Harishankar Reddy,2,2,7,0,69,1,69,9.86,0,0,42
Hanuma Vihari,6,5,7,0,52,1,52,7.43,0,0,42
Harbhajan Singh,3,3,7,0,75,0,0,10.71,0,0,0
Mohit Jangra,2,2,7,0,51,2,25.5,7.29,0,0,21
Virat Singh,10,3,7,0,68,0,0,9.71,0,0,0
Satish Jangir,3,3,7,0,37,2,18.5,5.29,0,0,21
Akash Bhandari,2,2,7,0,48,1,48,6.86,0,0,42
Umar Nazir Mir,2,2,7,0,62,1,62,8.86,0,0,42
Karan Kaila,2,2,7,0,32,4,8,4.57,0,0,10.5
Felix Alemao,3,2,7,0,75,4,18.75,10.71,0,0,10.5
Parvez Ahmed,5,3,7,0,69,1,69,9.86,0,0,42
K Lalhmingmawia,2,2,6,0,58,0,0,9.67,0,0,0
Deendyal Upadhyay,2,2,6,0,61,0,0,10.17,0,0,0
Ashish Reddy,3,2,6,0,54,3,18,9,0,0,12
Jayant Yadav,2,2,6,0,31,3,10.33,5.17,0,0,12
Andrew Vanlalhruaia,2,2,6,0,84,1,84,14,0,0,36
Rachit Bhatia,2,2,6,0,52,2,26,8.67,0,0,18
Tajinder Singh,6,3,6,0,33,2,16.5,5.5,0,0,18
Kiran Reddy,2,2,6,0,51,0,0,8.5,0,0,0
Yuvraj Singh,4,4,6,0,53,0,0,8.83,0,0,0
Ravi Teja,3,2,6,0,40,3,13.33,6.67,0,0,12
Deepak Punia,2,2,6,0,65,0,0,10.83,0,0,0
Lalrempuia,3,3,6.5,0,64,0,0,10.97,0,0,0
Pratyush Singh,6,3,6.5,0,43,0,0,7.37,0,0,0
Deepak Dhapola,2,2,5,0,46,0,0,9.2,0,0,0
Salman Baig,3,3,5,0,52,0,0,10.4,0,0,0
Rinzing Bhutia,2,2,5,0,40,1,40,8,0,0,30
Yuvraj Chudasama,2,2,5,0,46,0,0,9.2,0,0,0
Amos Rai,5,3,5,0,69,0,0,13.8,0,0,0
Amogh Sunil Desai,6,3,5,0,33,1,33,6.6,0,0,30
Abdul Samad,5,3,5,0,38,1,38,7.6,0,0,30
Amiangshu Sen,5,2,5,0,26,1,26,5.2,0,0,30
Jayveer Parmar,2,2,5,0,43,2,21.5,8.6,0,0,15
Prashant Chopra,6,3,5,0,35,2,17.5,7,0,0,15
Ramalingam Rohit,2,2,5,0,52,0,0,10.4,0,0,0
Govinda Poddar,2,2,5,0,39,1,39,7.8,0,0,30
Techi Doria,7,3,5,0,58,2,29,11.6,0,0,15
Rahul Singh,2,1,4,0,51,0,0,12.75,0,0,0
Prayash Singh,2,2,4,0,31,1,31,7.75,0,0,24
Bandeep Singh,1,1,4,0,26,1,26,6.5,0,0,24
Pritam Nirala,1,1,4,0,23,2,11.5,5.75,0,0,12
Hitesh Walunj,2,1,4,0,40,0,0,10,0,0,0
Zeeshan Ansari,1,1,4,0,32,0,0,8,0,0,0
Gurkeerat Singh,6,2,4,0,36,0,0,9,0,0,0
Manjinder Singh,2,2,4,0,34,1,34,8.5,0,0,24
Dasari Swaroop Kumar,1,1,4,0,26,3,8.67,6.5,0,0,8
Kumar Kartikeya,1,1,4,0,10,3,3.33,2.5,0,0,8
Milind Kumar,6,1,4,0,30,2,15,7.5,0,0,12
Bhavik Patel,1,1,4,0,48,0,0,12,0,0,0
Ajay Yadav,2,2,4,0,25,0,0,6.25,0,0,0
Ajay Yadav,2,2,4,0,25,0,0,6.25,0,0,0
Kant Singh,1,1,4,0,50,1,50,12.5,0,0,24
Plazor Tamang,5,4,4,0,54,0,0,13.5,0,0,0
Bhima Rao,1,1,4,0,23,0,0,5.75,0,0,0
Deepak Gohain,1,1,4,0,9,1,9,2.25,0,0,24
Sarbeswar Mohanty,2,2,4,0,29,0,0,7.25,0,0,0
Akash Parkar,5,2,4,0,29,1,29,7.25,0,0,24
Mayank Mishra,2,2,4,0,52,2,26,13,0,0,12
Nitesh Lohchab,3,2,4,0,36,0,0,9,0,0,0
Supriyo Chakraborty,2,1,4,0,26,1,26,6.5,0,0,24
Rohan Prem,4,2,4,0,16,1,16,4,0,0,24
Sharukh Dar,1,1,4,0,30,1,30,7.5,0,0,24
Aarpit ?Vasavada,6,2,4.5,0,10,3,3.33,2.61,0,0,7.67
Prithvi Raj,1,1,4.5,0,28,3,9.33,7.3,0,0,7.67
Gurvinder Singh,1,1,3,0,11,2,5.5,3.67,0,0,9
Mughavi Wotsa,2,2,3,0,37,0,0,12.33,0,0,0
Babul Kumar,6,2,3,0,27,0,0,9,0,0,0
Rongsen Jonathan,6,2,3,0,29,0,0,9.67,0,0,0
Amit Sinha,7,1,3,0,18,2,9,6,0,0,9
Subham Nayak,1,1,3,0,18,1,18,6,0,0,18
Pawandeep Singh,1,1,3,0,8,2,4,2.67,0,0,9
Rajneesh Gurbani,1,1,3,1,29,1,29,9.67,0,0,18
Ambikeshwar Mishra,1,1,3,0,15,1,15,5,0,0,18
Krishnamoorthy Vignesh,1,1,3,0,40,1,40,13.33,0,0,18
Rahul Tripathi,10,2,3,0,21,1,21,7,0,0,18
Gaurav Kumar,1,1,3,0,36,0,0,12,0,0,0
Tashi Bhalla,3,2,3,0,51,0,0,17,0,0,0
Royston Dias,1,1,3,0,33,0,0,11,0,0,0
Mangal Mahrour,6,2,3,0,18,0,0,6,0,0,0
Lakhan Singh,1,1,3,0,37,0,0,12.33,0,0,0
Suyash Prabhudessai,6,1,3,0,11,1,11,3.67,0,0,18
Ricky Bhui,6,1,3,0,18,0,0,6,0,0,0
KD Singh,1,1,3,0,34,1,34,11.33,0,0,18
Manzoor Dar,6,3,3.5,0,42,0,0,14.82,0,0,0
Gaurav,1,1,2,0,27,1,27,13.5,0,0,12
Sibsankar Roy,7,1,2,0,8,0,0,4,0,0,0
Mohit Mongia,4,1,2,0,13,1,13,6.5,0,0,12
Mandup Bhutia,3,1,2,0,28,0,0,14,0,0,0
Yash Gardharia,1,1,2,0,28,0,0,14,0,0,0
Neetesh Sharma,3,2,2,0,27,1,27,13.5,0,0,12
Samarth Seth,6,1,2,0,29,0,0,14.5,0,0,0
Ankit Singh,1,1,2,0,28,1,28,14,0,0,12
Udiyan Bose,7,1,2,0,19,0,0,9.5,0,0,0
Hardik Rathod,1,1,2,0,18,0,0,9,0,0,0
Ashutosh Das,1,1,2,0,19,1,19,9.5,0,0,12
Rahul Sharma,1,1,2,0,19,0,0,9.5,0,0,0
Akshath Reddy,6,1,2,0,16,0,0,8,0,0,0
Vikneshwaran Marimuthu,7,1,2,0,15,2,7.5,7.5,0,0,6
Gaurav Singh,1,1,2.5,0,15,1,15,8.18,0,0,11
Yusuf Pathan,7,1,1.2,0,9,0,0,6.75,0,0,0
Vaibhav Singh Panwar,7,1,1.2,0,12,0,0,9,0,0,0
Akoijam Singh,1,1,1.1,0,21,0,0,18,0,0,0
Suresh Raina,6,1,1,0,1,0,0,1,0,0,0
Ritwik Roy Chowdhury,9,1,1,0,7,0,0,7,0,0,0
Rushabh Rathod,7,1,1,0,11,0,0,11,0,0,0
Somnath Soni,1,1,1,0,15,1,15,15,0,0,6
Akhil Rajput,7,1,1,0,10,0,0,10,0,0,0
Shubham Chaubey,5,1,1,0,10,0,0,10,0,0,0
Vikas Tokas,1,1,1,0,12,0,0,12,0,0,0
Keshav Kumar,6,1,1,0,6,0,0,6,0,0,0
Karun Nair,12,1,1,0,9,0,0,9,0,0,0
Nikhil Gangta,2,1,1,0,8,0,0,8,0,0,0
A Aravinddaraj,3,1,1,0,13,0,0,13,0,0,0
Inakato Zhimomi,1,1,1,0,13,0,0,13,0,0,0
C Hari Nishanth,4,1,1,0,11,0,0,11,0,0,0
Murali Vijay,4,1,1,0,3,0,0,3,0,0,0
Saurabh Rawat,7,1,1,0,14,0,0,14,0,0,0
Sonu Singh,1,1,1,0,10,0,0,10,0,0,0
Saurabh Tiwary,9,1,1,0,8,0,0,8,0,0,0
Madhav Avsh,1,1,1,0,16,0,0,16,0,0,0
Rishabh Chouhan,4,1,1,0,4,1,4,4,0,0,6
Toni Chishi,2,1,1,0,9,0,0,9,0,0,0
Nirupam Sen,4,1,1.5,0,10,1,10,12,0,0,5
S Santhosh Kumaran,2,1,1.4,0,11,0,0,16.5,0,0,0
Vaibhav Govekar,1,1,0.2,0,2,0,0,6,0,0,0
Mohammed Siraj,5,5,20,0,171,10,17.1,8.55,0,0,12
Nitin Yadav,5,5,20,0,157,6,26.17,7.85,0,0,20
Avesh Khan,5,5,20,1,137,7,19.57,6.85,0,0,17.14
Arun Bamal,5,5,20,0,117,3,39,5.85,0,0,40
Kuldeep Yadav,5,5,20,0,133,3,44.33,6.65,0,0,40
Parvez Rasool,5,5,20,0,116,7,16.57,5.8,0,0,17.14
Pradeep Sangwan,5,5,20,0,167,6,27.83,8.35,0,0,20
Deepak Chahar,5,5,20,0,103,7,14.71,5.15,0,0,17.14
Lakshay Garg,5,5,20,0,192,2,96,9.6,0,0,60
Darshan Misal,5,5,20,0,149,4,37.25,7.45,0,0,30
Diwesh Pathania,5,5,20.5,0,143,11,13,7.21,0,0,10.82
Shadab Jakati,5,5,20.5,0,177,3,59,8.92,0,0,39.67
Siddarth Kaul,5,5,20.5,0,160,0,0,8.07,0,0,0
Ravi Kiran,5,5,19.2,0,143,10,14.3,7.4,1,0,11.6
Chandrapal Singh,5,5,19,0,139,6,23.17,7.32,0,0,19
Amit Mishra,5,5,19,0,141,10,14.1,7.42,0,0,11.4
Harbhajan Singh,5,5,19,0,114,5,22.8,6,0,0,22.8
Mehdi Hassan,5,5,19,0,149,6,24.83,7.84,0,0,19
Khaleel Ahmed,5,5,19,0,130,9,14.44,6.84,1,0,12.67
Krishnamoorthy Vignesh,5,5,19,0,131,10,13.1,6.89,0,1,11.4
Waseem Raza,5,5,19.3,0,122,6,20.33,6.59,1,0,18.5
Ankit Rajpoot,5,5,18,0,115,6,19.17,6.39,0,0,18
Saurabh Kumar,5,5,18,0,95,5,19,5.28,0,0,21.6
Harshal Patel,5,5,18,0,140,6,23.33,7.78,0,0,18
Washington Sundar,5,5,18,0,121,6,20.17,6.72,0,0,18
Ishwar Pandey,5,5,18,0,109,4,27.25,6.06,0,0,27
V Athisayaraj Davidson,5,5,18,0,141,10,14.1,7.83,0,1,10.8
Pankaj Kumar Rao,5,5,18,0,137,1,137,7.61,0,0,108
Mihir Hirwani,5,5,18,0,112,3,37.33,6.22,0,0,36
Bipul Sharma,5,5,18,0,108,2,54,6,0,0,54
Aniket Choudhary,5,5,18.5,0,104,7,14.86,5.83,0,0,15.29
Bandaru Ayyappa,5,5,18.4,0,159,7,22.71,9,0,0,15.14
Sreenath Aravind,5,5,17.2,0,116,6,19.33,6.69,0,0,17.33
Karn Sharma,5,5,17,0,122,3,40.67,7.18,0,0,34
Shakeeb Ahmed,5,5,17,0,142,8,17.75,8.35,0,0,12.75
Ravikumar Thakur,5,5,17,0,133,11,12.09,7.82,1,0,9.27
Vinay Kumar,5,5,17,0,138,4,34.5,8.12,0,0,25.5
Mohammed Mudhasir,5,5,17,0,123,4,30.75,7.24,0,0,25.5
Kulwant Khejroliya,5,5,17,0,113,5,22.6,6.65,0,0,20.4
Kanwar Abhinay,5,5,17,0,155,6,25.83,9.12,0,0,17
Ashish Hooda,5,5,17.4,0,130,2,65,7.8,0,0,50
Abhimanyu Mithun,5,5,16.2,0,154,3,51.33,9.43,0,0,32.67
Amit Mishra,5,5,16,0,132,5,26.4,8.25,0,0,19.2
Lalit Yadav,5,5,16,0,117,2,58.5,7.31,0,0,48
Abhishek Raut,4,4,16,0,102,5,20.4,6.38,0,0,19.2
Jaskaran Singh,4,4,16,0,112,5,22.4,7,0,0,19.2
Akshar Patel,4,4,16,0,100,3,33.33,6.25,0,0,32
Shrikant Wagh,5,5,16,0,115,9,12.78,7.19,0,0,10.67
Anureet Singh,4,4,16,0,125,4,31.25,7.81,0,0,24
Parikshit Valsangkar,4,4,16,0,113,3,37.67,7.06,0,0,32
Shahbaz Nadeem,4,4,16,0,98,5,19.6,6.13,0,0,19.2
Piyush Chawla,4,4,16,0,125,10,12.5,7.81,0,0,9.6
Sumit Ruikar,5,5,16.3,0,125,3,41.67,8.06,0,0,31
Varun Aaron,4,4,15.2,0,152,3,50.67,9.91,0,0,30.67
Avishek Sinha,4,4,15.1,0,92,4,23,6.07,0,0,22.75
Akshay Wakhare,5,5,15,0,91,5,18.2,6.07,0,0,18
Krishnappa Gowtham,5,5,15,0,114,4,28.5,7.6,0,0,22.5
Manpreet Gony,5,5,15,0,126,5,25.2,8.4,1,0,18
Pawan Negi,5,5,15,0,117,7,16.71,7.8,0,0,12.86
Ashok Dinda,4,4,15,0,138,2,69,9.2,0,0,45
Ankit Sharma,4,4,15,0,94,5,18.8,6.27,0,0,18
Jaydev Unadkat,4,4,15,1,97,2,48.5,6.47,0,0,45
Navdeep Saini,4,4,15,0,84,4,21,5.6,0,0,22.5
Rahul Tewatia,5,5,15,0,107,5,21.4,7.13,0,0,18
Sekhar Barman,4,4,15,0,107,2,53.5,7.13,0,0,45
Basil Thampi,4,4,15,0,154,5,30.8,10.27,0,0,18
Sayan Ghosh,4,4,15,0,114,3,38,7.6,0,0,30
Dhawal Kulkarni,4,4,15,0,103,5,20.6,6.87,0,0,18
Stuart Binny,5,5,15,0,102,6,17,6.8,0,0,15
Manisankar Murasingh,4,4,15,0,141,3,47,9.4,0,0,30
Puneet Datey,4,4,15,0,101,4,25.25,6.73,0,0,22.5
Atit Sheth,4,4,15.5,0,85,10,8.5,5.73,0,0,8.9
Mayank Dagar,5,5,15.5,0,106,4,26.5,7.15,0,0,22.25
Monu Kumar,4,4,15.4,0,73,8,9.13,4.98,1,0,11
Pankaj Jaiswal,5,5,15.4,0,152,6,25.33,10.36,1,0,14.67
Samad Fallah,4,4,15.3,0,120,4,30,8.28,0,0,21.75
Shaurya Sanandia,4,4,15.3,0,107,9,11.89,7.38,1,0,9.67
Sandeep Warrier,4,4,14,0,118,4,29.5,8.43,0,0,21
Ravisrinivasan Sai Kishore,5,5,14,0,93,3,31,6.64,0,0,28
Felix Alemao,5,4,14,0,124,4,31,8.86,0,0,21
Abhijit Chakraborty,4,4,14,0,97,2,48.5,6.93,0,0,42
Sandeep Sharma,4,4,14,0,126,3,42,9,0,0,28
Swapnil Singh,4,4,14,0,110,2,55,7.86,0,0,42
Jayant Yadav,5,5,14,0,81,3,27,5.79,0,0,28
Rajneesh Gurbani,5,5,14,0,88,2,44,6.29,0,0,42
Mohsin Khan,4,4,14,0,101,4,25.25,7.21,0,0,21
Bhargav Bhatt,5,5,14,0,101,3,33.67,7.21,0,0,28
Duvvarapu Siva Kumar,4,4,14,0,101,4,25.25,7.21,0,0,21
Dharmendrasinh Jadeja,4,4,14,0,90,2,45,6.43,0,0,42
Domnic Joseph,4,4,14,0,109,10,10.9,7.79,1,0,8.4
Kushang Patel,4,4,14,0,113,1,113,8.07,0,0,84
Ishwar Chaudhary,4,4,14.3,0,92,4,23,6.81,0,0,20.25
Shardul Thakur,4,4,13.2,0,114,4,28.5,8.55,0,0,20
Suryakant Pradhan,4,4,13.2,0,100,5,20,7.5,1,0,16
Yuvraj Chudasama,4,4,13.1,0,94,4,23.5,7.14,0,0,19.75
Ashish Yadav,5,4,13,0,83,2,41.5,6.38,0,0,39
Tajinder Singh,5,5,13,0,81,6,13.5,6.23,0,0,13
Ashish Reddy,5,4,13,0,122,1,122,9.38,0,0,78
Shrikant Mundhe,4,4,13,0,119,3,39.67,9.15,0,0,26
Abu Nechim,4,4,13,0,81,6,13.5,6.23,0,0,13
Manoj Tiwary,4,4,13,0,87,9,9.67,6.69,1,0,8.67
Akash Bhandari,4,4,13,0,80,2,40,6.15,0,0,39
Chanderpal Saini,5,5,13,0,105,1,105,8.08,0,0,78
Shivendra Singh,4,4,13.3,0,91,2,45.5,7.28,0,0,37.5
Praveen Dubey,4,4,13.3,0,92,7,13.14,7.36,1,0,10.71
Jayanta Behera,4,4,12,0,76,2,38,6.33,0,0,36
Krunal Pandya,4,4,12,0,117,3,39,9.75,0,0,24
Ravi Jangid,5,5,12,0,81,1,81,6.75,0,0,72
Ajit Chahal,4,4,12,0,104,4,26,8.67,0,0,18
Girinath Reddy,5,5,12.3,0,95,2,47.5,8.26,0,0,34.5
Jayveer Parmar,3,3,11.2,0,84,7,12,7.41,1,0,9.71
Soaeb Tai,4,4,11,0,93,3,31,8.45,0,0,22
Sachidanand Pandey,3,3,11,0,121,2,60.5,11,0,0,33
Pritam Das,3,3,11,0,98,3,32.67,8.91,0,0,22
Abhishek Mohan,3,3,11,0,90,4,22.5,8.18,0,0,16.5
Lukman Meriwala,4,4,11,0,92,5,18.4,8.36,0,0,13.2
Kanishk Seth,3,3,11,0,79,1,79,7.18,0,0,66
Gurinder Singh,4,4,11,0,101,4,25.25,9.18,0,0,16.5
Abhishek Sharma,4,4,11,0,91,4,22.75,8.27,0,0,16.5
Tushar Deshpande,3,3,11,0,99,3,33,9,0,0,22
Rishi Arothe,4,4,11,0,105,4,26.25,9.55,0,0,16.5
Vishal Kushwah,5,4,11,0,92,5,18.4,8.36,0,0,13.2
Ajay Mandal,4,4,11,0,91,3,30.33,8.27,0,0,22
Sudhesan Midhun,3,3,11,0,66,1,66,6,0,0,66
Hanuma Vihari,5,5,11,0,89,4,22.25,8.09,0,0,16.5
Debabrata Pradhan,4,4,10.2,0,60,2,30,5.81,0,0,31
Umar Nazir Mir,3,3,10.1,0,86,5,17.2,8.46,0,0,12.2
Swarupam Purkayastha,3,3,10,0,77,3,25.67,7.7,0,0,20
Karan Thakur,3,3,10,0,73,1,73,7.3,0,0,60
Sanjay Yadav,5,4,10,0,73,3,24.33,7.3,0,0,20
Harishankar Reddy,3,3,10,0,75,8,9.38,7.5,1,0,7.5
Padmanabhan Prasanth,3,3,10,0,88,1,88,8.8,0,0,60
Manik Gupta,4,3,10,0,68,5,13.6,6.8,0,0,12
Murugan Ashwin,3,3,10,0,83,4,20.75,8.3,0,0,15
Jagdish Zope,3,3,9.2,0,70,3,23.33,7.5,0,0,18.67
Sanjay Majumder,3,3,9,0,65,2,32.5,7.22,0,0,27
Rishi Dhawan,3,3,9,0,86,0,0,9.56,0,0,0
Ajoy Sarkar,3,3,9,0,89,3,29.67,9.89,0,0,18
Suboth Bhati,3,3,9,0,72,4,18,8,0,0,13.5
