Player,Mat,Inn,Overs,Mdns,Runs,Wkts,Ave,Econ,4w,5w,SR
Rovman Powell,11,5,14,0,159,5,31.8,11.36,0,0,16.8
Roshon Primus,8,8,17,0,133,5,26.6,7.82,0,0,20.4
Oshane Thomas,2,2,6,0,63,4,15.75,10.5,0,0,9
Shamar Springer,6,4,7.1,0,56,4,14,7.81,0,0,10.75
Imad Wasim,5,5,17,0,91,4,22.75,5.35,0,0,25.5
Imran Khan,6,6,16,0,96,4,24,6,0,0,24
Rahkeem Cornwall,7,6,16,0,126,4,31.5,7.88,0,0,24
Khary Pierre,6,6,19,1,146,4,36.5,7.68,0,0,28.5
Mitchell McClenaghan,8,7,22,0,212,4,53,9.64,0,0,33
Veerasammy Permaul,11,10,31,0,207,4,51.75,6.68,0,0,46.5
Mahmudullah,5,3,11,0,81,3,27,7.36,0,0,22
Garey Mathurin,6,4,15,0,116,3,38.67,7.73,0,0,30
Ben Hilfenhaus,6,6,17,1,176,3,58.67,10.35,0,0,34
Nikita Miller,2,2,5,0,39,2,19.5,7.8,0,0,15
Shakib Al Hasan,3,3,9,0,66,2,33,7.33,0,0,27
Chris Gayle,12,1,1.3,0,9,1,9,18,0,0,3
Fabian Allen,1,1,3.1,0,24,1,24,7.58,0,0,19
Timil Patel,1,1,3,0,30,1,30,10,0,0,18
Shane Watson,8,2,6,0,79,1,79,13.17,0,0,36
Robert Frylinck,6,3,4,0,48,1,48,12,0,0,24
Shoaib Malik,5,3,7,0,50,1,50,7.14,0,0,42
Ashley Nurse,3,3,6,0,64,1,64,10.67,0,0,36
Obed McCoy,3,3,9,0,82,1,82,9.11,0,0,54
Anderson Phillip,3,3,9,0,85,1,85,9.44,0,0,54
Jonathan Carter,12,4,3.2,0,32,1,32,9.6,0,0,20
Darren Sammy,10,4,7.5,0,80,1,80,11.71,0,0,41
Keemo Paul,7,5,9,0,70,1,70,7.78,0,0,54
Marlon Samuels,9,5,10,0,79,1,79,7.9,0,0,60
Dwayne Bravo,12,12,47,0,396,21,18.86,8.43,1,0,13.43
Sohail Tanvir,12,12,46,1,297,20,14.85,6.46,1,0,13.8
Kesrick Williams,13,12,42,1,337,17,19.82,8.02,1,0,14.82
Rayad Emrit,12,12,39,0,299,16,18.69,7.67,0,0,14.63
Adam Zampa,12,12,39.1,0,277,15,18.47,7.07,0,0,15.67
Sunil Narine,12,12,47,2,261,14,18.64,5.55,0,0,20.14
Kevon Cooper,12,12,42,0,411,14,29.36,9.79,0,0,18
Delorn Johnson,7,7,28.3,0,249,13,19.15,9.05,0,0,12.69
Jerome Taylor,8,8,31,1,231,13,17.77,7.45,0,0,14.31
Dale Steyn,8,7,26.5,1,176,12,14.67,6.81,1,0,12.92
Ravi Rampaul,10,10,35,1,292,12,24.33,8.34,0,0,17.5
Shakib Al Hasan,13,11,34,0,236,12,19.67,6.94,0,0,17
Shane Watson,11,11,43,0,329,12,27.42,7.65,0,0,21.5
Andre Russell,11,8,25.1,1,212,11,19.27,8.42,1,0,13.73
Imad Wasim,12,11,35.4,1,194,11,17.64,5.6,0,0,18.91
Krishmar Santokie,9,9,35.3,0,260,10,26,7.54,0,0,20.7
Sheldon Cotterrell,4,4,16,0,123,8,15.38,7.69,0,0,12
Tabraiz Shamsi,7,7,28,0,184,8,23,6.57,0,0,21
Darren Sammy,11,8,25,0,190,8,23.75,7.6,0,0,18.75
Samuel Badree,9,9,34,0,263,8,32.88,7.74,0,0,25.5
Veerasammy Permaul,12,12,38.5,0,278,8,34.75,7.35,0,0,28.38
Wayne Parnell,6,6,22,0,165,7,23.57,7.5,0,0,18.86
Raymon Reifer,7,7,18,0,146,6,24.33,8.11,0,0,18
Alzarri Joseph,3,3,12,0,134,5,26.8,11.17,1,0,14.4
Imran Khan,7,5,17,0,117,5,23.4,6.88,0,0,20.4
Shane Shillingford,9,5,18,0,125,5,25,6.94,0,0,21.6
Thisara Perera,7,6,20,0,161,5,32.2,8.05,0,0,24
Shoaib Malik,10,4,9,0,91,4,22.75,10.11,0,0,13.5
Derone Davis,4,4,11,0,103,4,25.75,9.36,0,0,16.5
Kieron Pollard,10,4,12.3,0,103,4,25.75,8.96,0,0,17.25
Akeal Hosein,8,6,17.2,0,123,4,30.75,7.1,0,0,26
Sulieman Benn,7,7,21,0,193,4,48.25,9.19,0,0,31.5
David Wiese,8,8,22.3,0,208,4,52,9.67,0,0,32.25
Ronsford Beaton,11,11,38.5,0,339,4,84.75,8.96,0,0,56.75
Anton Devcich,4,4,13,0,85,3,28.33,6.54,0,0,26
Carlos Brathwaite,4,4,15,0,115,3,38.33,7.67,0,0,30
Morne Morkel,5,5,20,0,159,3,53,7.95,0,0,40
Garey Mathurin,10,6,17,0,118,3,39.33,6.94,0,0,34
Jonathan Carter,10,8,20.2,0,189,3,63,9.3,0,0,40.67
Gidron Pope,3,3,6,0,32,2,16,5.33,0,0,18
JJ Smuts,5,3,6,0,69,2,34.5,11.5,0,0,18
Christopher Barnwell,11,3,7,0,69,2,34.5,9.86,0,0,21
Timroy Allen,6,3,7,0,84,2,42,12,0,0,21
Nikita Miller,8,7,20,0,176,2,88,8.8,0,0,60
Rovman Powell,13,7,18,0,182,2,91,10.11,0,0,54
Steven Jacobs,8,8,26,0,154,2,77,5.92,0,0,78
Chris Gayle,13,1,1.4,0,8,1,8,12,0,0,4
Jeremiah Louis,1,1,3,0,25,1,25,8.33,0,0,18
Anderson Phillip,1,1,4,0,40,1,40,10,0,0,24
Ali Khan,1,1,4.5,0,49,1,49,12.78,0,0,23
Oshane Thomas,2,2,6,0,41,1,41,6.83,0,0,36
Nitish Kumar,2,2,4,0,43,1,43,10.75,0,0,24
Robin Peterson,2,2,8.4,0,46,1,46,6,0,0,46
Jon-Russ Jaggesar,4,3,7,0,58,1,58,8.29,0,0,42
Navin Stewart,4,4,10,0,86,1,86,8.6,0,0,60
Kyle Mayers,6,6,16,0,119,1,119,7.44,0,0,96
Dwayne Smith,12,7,13,0,97,1,97,7.46,0,0,78
Dwayne Bravo,13,13,45.4,1,328,28,11.71,7.34,2,1,9.57
Krishmar Santokie,10,10,40,0,316,16,19.75,7.9,1,0,15
Sunil Narine,10,10,39,3,193,14,13.79,4.95,0,0,16.71
Kieron Pollard,11,11,34,0,225,14,16.07,6.62,1,0,14.57
Robin Peterson,11,11,36,1,229,14,16.36,6.36,0,0,15.43
Devendra Bishoo,7,7,26.5,1,132,12,11,5.11,1,0,12.92
Marchant de Lange,10,10,36,1,266,12,22.17,7.39,1,0,18
Rayad Emrit,11,11,38,0,241,12,20.08,6.34,0,0,19
Samuel Badree,13,13,39,2,268,12,22.33,6.87,0,0,19.5
Ronsford Beaton,6,6,18.5,0,149,11,13.55,8.36,1,0,9.73
Tabraiz Shamsi,7,7,22.3,1,146,11,13.27,6.79,2,0,11.73
Jerome Taylor,10,10,39,1,301,11,27.36,7.72,0,0,21.27
Sulieman Benn,11,11,35.1,1,245,11,22.27,6.97,0,0,19.18
Ravi Rampaul,11,11,39,1,321,11,29.18,8.23,0,0,21.27
Kevon Cooper,12,12,33.4,0,251,10,25.1,7.68,0,0,19.6
Sheldon Cotterrell,7,7,23,1,200,9,22.22,8.7,0,0,15.33
Fidel Edwards,10,9,34,0,287,9,31.89,8.44,0,0,22.67
Andre Russell,10,10,34,0,266,9,29.56,7.82,0,0,22.67
Shahid Afridi,10,10,33.5,1,274,9,30.44,8.35,0,0,21.89
Jacques Kallis,13,11,29.3,1,184,9,20.44,6.46,0,0,19
David Wiese,5,5,15,0,138,8,17.25,9.2,0,1,11.25
Rusty Theron,9,9,33,0,259,8,32.38,7.85,0,0,24.75
Johan Botha,13,10,24,0,172,8,21.5,7.17,0,0,18
Veerasammy Permaul,10,10,40,0,230,8,28.75,5.75,0,0,30
Jeevan Mendis,4,4,12,1,62,7,8.86,5.17,0,0,10.29
Derone Davis,7,7,19,0,134,7,19.14,7.05,0,0,16.29
Sohail Tanvir,10,10,35.2,0,194,7,27.71,5.49,0,0,30.29
Keron Cottoy,3,3,10,0,61,6,10.17,6.1,1,0,10
Darren Sammy,7,4,12,0,102,6,17,8.5,0,0,12
Nathan McCullum,6,6,20,0,152,6,25.33,7.6,1,0,20
Jason Holder,11,10,35,1,277,6,46.17,7.91,0,0,35
Carlos Brathwaite,9,9,28.2,0,238,5,47.6,8.4,0,0,34
Kemar Roach,7,6,21,0,207,4,51.75,9.86,0,0,31.5
Daniel Vettori,9,9,34,0,207,4,51.75,6.09,0,0,51
Shannon Gabriel,10,10,30.5,1,225,4,56.25,7.54,0,0,44.75
Delorn Johnson,2,2,4,1,37,3,12.33,9.25,0,0,8
Raymon Reifer,3,3,11.5,0,81,3,27,7.48,0,0,21.67
Brad Hodge,10,2,3,0,21,2,10.5,7,0,0,9
Eddie Leie,3,2,7,0,41,2,20.5,5.86,0,0,21
Tillakaratne Dilshan,4,3,7,0,56,2,28,8,0,0,21
Jomel Warrican,3,3,9,0,82,2,41,9.11,0,0,27
Nikhil Dutta,3,3,11,0,90,2,45,8.18,0,0,33
Nikita Miller,5,5,13,0,96,2,48,7.38,0,0,39
Dwayne Smith,11,1,1,0,12,1,12,12,0,0,6
Orlando Peters,6,1,2,0,26,1,26,13,0,0,12
Imran Khan,2,2,5,0,34,1,34,6.8,0,0,30
Narsingh Deonarine,4,2,6,0,52,1,52,8.67,0,0,36
Shane Shillingford,2,2,8,0,80,1,80,10,0,0,48
Javon Searles,8,3,8,0,81,1,81,10.13,0,0,48
Ashley Nurse,5,4,7.1,0,69,1,69,9.63,0,0,43
Ravi Rampaul,10,10,35,0,237,18,13.17,6.77,3,0,11.67
Krishmar Santokie,11,11,43.2,0,330,17,19.41,7.62,1,0,15.29
Rusty Theron,11,11,40.2,0,343,14,24.5,8.5,1,0,17.29
Rayad Emrit,10,10,32.5,0,256,12,21.33,8.04,0,0,15.92
Kevon Cooper,10,10,39.2,1,270,12,22.5,6.86,0,0,19.67
Samuel Badree,9,9,34,2,150,11,13.64,4.41,0,0,18.55
Andre Russell,11,10,29,0,251,11,22.82,8.66,0,0,15.82
Jerome Taylor,11,11,41.3,0,330,11,30,8.15,1,0,22.09
Sheldon Cotterrell,9,9,32.5,1,188,10,18.8,5.91,0,0,19.1
Sunil Narine,8,8,32,2,144,9,16,4.5,0,0,21.33
Carlos Brathwaite,9,9,28.3,0,214,9,23.78,7.78,0,0,18.33
Jason Holder,10,10,37,1,225,9,25,6.08,1,0,24.67
Dwayne Bravo,10,10,34.4,0,298,9,33.11,8.85,0,0,22.44
